City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,happy valley-goose bay,53.3168,-60.3315,20.17,73,75,2.57,CA,1690484812
83,kitimat,54.0524,-128.6534,22.05,62,100,1.34,CA,1690484812
84,tura,25.5198,90.2201,23.76,97,100,2.14,IN,1690484812
85,papatowai,-46.5619,169.4708,6.13,89,100,3.02,NZ,1690484812
86,amga,60.8953,131.9608,11.31,71,4,1.02,RU,1690484813
87,malyye derbety,47.9547,44.6808,28.75,31,0,4.25,RU,1690484813
88,mariental,-24.6333,17.9667,19.48,17,0,2.91,NA,1690484813
89,holualoa,19.6228,-155.9522,27.1,77,20,3.6,US,1690484813
90,yellowknife,62.456,-114.3525,24.2,33,10,1.79,CA,1690484813
91,nouadhibou,20.931,-17.0347,22.99,73,11,11.83,MR,1690484813
92,ilulissat,69.2167,-51.1,7.01,87,75,2.57,GL,1690484814
93,tazovsky,67.4667,78.7,14.81,96,67,2.86,RU,1690484814
94,codrington,-38.2667,141.9667,11.58,95,47,6.55,AU,1690484814
95,mandalgovi,45.7625,106.2708,20.04,44,85,4.87,MN,1690484814
96,gibara,21.1097,-76.1317,35.62,64,88,7.62,CU,1690484814
97,tamiahua,21.2667,-97.45,30.61,60,23,3.2,MX,1690484814
98,inderbor,48.55,51.7833,32.33,26,0,4.8,KZ,1690484815
99,tiksi,71.6872,128.8694,7.17,72,38,3.33,RU,1690484815
100,al ghayzah,16.2079,52.176,25.58,86,99,7.26,YE,1690484815
101,kyzyl,51.7,94.45,19.69,58,100,3.56,RU,1690484820
102,broken hill,-31.95,141.4333,15.2,57,98,5.54,AU,1690484820
103,magadan,59.5667,150.8,12.26,80,2,2.11,RU,1690484820
104,jamestown,42.097,-79.2353,25.01,74,100,6.69,US,1690484821
105,longyearbyen,78.2186,15.6401,10.91,62,40,8.75,SJ,1690484821
106,constantia,44.1833,28.65,16.5,85,78,5.5,RO,1690484646
107,geraldton,-28.7667,114.6,11.23,100,75,2.06,AU,1690484821
108,guerrero negro,27.9769,-114.0611,29.56,41,5,4.09,MX,1690484707
109,lae,-6.7221,146.9847,23.36,94,100,1.44,PG,1690484821
110,al buraymi,24.2509,55.7931,36.68,41,0,3.09,OM,1690484821
111,conceicao da barra,-18.5933,-39.7322,23.99,70,17,3.02,BR,1690484821
112,moyynkum,44.2914,72.9469,25.83,50,100,2.56,KZ,1690484822
113,beli,7.8587,10.9719,24.57,89,74,1.56,NG,1690484822
114,isafjordur,66.0755,-23.124,7.84,85,93,4.51,IS,1690484822
115,basse santa su,13.31,-14.2137,32.09,62,87,2.1,GM,1690484822
116,newport,51.5877,-2.9984,20.6,87,0,5.85,GB,1690484813
117,kayangel,8.0823,134.7173,26.27,88,100,13.99,PW,1690484823
118,wailua homesteads,22.0669,-159.378,28.44,78,40,8.75,US,1690484823
119,bikenibeu village,1.3673,173.1241,28.39,76,46,4.84,KI,1690484823
120,suntar,62.1444,117.6319,13.82,67,27,2.29,RU,1690484823
121,betio village,1.358,172.9211,28.38,76,66,4.76,KI,1690484823
122,bilibino,68.0546,166.4372,8.94,78,100,1.52,RU,1690484824
123,afaahiti,-17.75,-149.2833,25.93,86,40,4.93,PF,1690484824
124,malango,-2.9627,119.9001,17.66,98,43,0.61,ID,1690484824
125,dhidhdhoo,6.8833,73.1,28.35,74,11,3.16,MV,1690484824
126,chinde,26.8418,88.0763,18.87,89,100,1.48,NP,1690484824
127,margaret river,-33.95,115.0667,13.65,74,100,8.15,AU,1690484825
128,luckeesarai,25.1833,86.0833,32.08,61,100,3.48,IN,1690484825
129,tsirang,27.0219,90.1229,18.39,97,100,1.39,BT,1690484825
130,kalengwa,-13.4659,25.0027,15.71,33,14,2.35,ZM,1690484825
131,borovskoy,53.8,64.15,20.73,68,92,2.97,KZ,1690484826
132,shalqar,47.8333,59.6,29.86,28,5,5.77,KZ,1690484826
133,collie,-33.3667,116.15,10.68,89,100,3.78,AU,1690484826
134,queenstown,-31.8976,26.8753,10.75,33,0,2.22,ZA,1690484826
135,badger,64.8,-147.5333,24.1,57,75,3.09,US,1690484826
136,castillos,-34.1667,-53.8333,12.63,61,68,2.94,UY,1690484827
137,georgetown,5.4112,100.3354,27.97,89,20,1.03,MY,1690484724
138,vera cruz,-12.6333,-41.0333,23.37,56,97,3.21,BR,1690484827
139,kapa'a,22.0752,-159.319,29.18,78,40,8.75,US,1690484827
140,vanimo,-2.6741,141.3028,24.99,93,100,1.91,PG,1690484827
141,ganjam,19.3833,85.0667,28.39,86,99,5.12,IN,1690484828
142,taitung city,22.7583,121.1444,26.86,92,100,8.97,TW,1690484828
143,santiago de cao,-7.9589,-79.2392,23.07,73,0,5.14,PE,1690484828
144,west yarmouth,41.6501,-70.2411,31.26,82,0,9.77,US,1690484828
145,zhaqsy,51.9083,67.3133,19.86,62,49,3.08,KZ,1690484828
146,blackmans bay,-43.0167,147.3167,13.18,66,79,4.14,AU,1690484828
147,nagqu,31.5,92.0,2.46,90,100,1.83,CN,1690484828
148,saint-pierre,-21.3393,55.4781,19.82,73,40,2.06,RE,1690484829
149,malvan,16.0667,73.4667,26.02,86,100,5.87,IN,1690484829
150,riosucio,5.4216,-75.7032,23.34,68,60,0.64,CO,1690484829
151,coquimbo,-29.9533,-71.3436,18.12,64,11,3.68,CL,1690484808
152,vodnyy,63.5046,53.4095,14.99,99,100,1.68,RU,1690484829
153,barcelos,41.5388,-8.6151,21.62,72,26,3.12,PT,1690484829
154,visby,57.6409,18.296,15.59,82,0,4.12,SE,1690484830
155,illizi,26.4833,8.4667,37.63,7,5,3.71,DZ,1690484830
156,labrador city,52.9463,-66.9114,13.95,58,75,6.17,CA,1690484754
157,talnakh,69.4865,88.3972,21.4,63,53,2.4,RU,1690484830
158,dapchi,12.4904,11.4944,32.12,42,100,0.59,NG,1690484830
159,akjoujt,19.6969,-14.4164,42.62,9,13,6.6,MR,1690484831
160,tazacorte,28.629,-17.9293,23.97,75,40,7.2,ES,1690484831
161,arak,34.0917,49.6892,26.91,25,23,0.32,IR,1690484832
162,gemena,3.25,19.7667,25.56,74,96,1.24,CD,1690484832
163,cacapava do sul,-30.5122,-53.4914,12.74,66,99,1.6,BR,1690484832
164,nemuro,43.3236,145.575,16.55,99,70,2.03,JP,1690484833
165,donaldsonville,30.101,-90.9929,36.12,41,40,3.6,US,1690484833
166,kavieng,-2.5744,150.7967,27.14,83,87,5.17,PG,1690484833
167,lorengau,-2.0226,147.2712,26.57,83,93,2.73,PG,1690484834
168,kokuy,52.2037,117.5529,13.52,95,21,1.11,RU,1690484834
169,uturoa,-16.7333,-151.4333,26.35,78,5,3.9,PF,1690484834
170,sao joao da barra,-21.6403,-41.0511,26.05,77,0,7.64,BR,1690484834
171,la peca,-5.6111,-78.435,30.01,45,44,2.48,PE,1690484835
